Entity,Day,Annual average,Monthly average
Hawaii,1999-11-09,8.094111,8.0824
Hawaii,1999-12-15,8.0933895,8.0818
Hawaii,2000-02-03,8.09302,8.0966
Hawaii,2000-03-01,8.092517,8.0946
Hawaii,2000-03-29,8.089885,8.0942
Hawaii,2000-04-26,8.087769,8.0941
Hawaii,2000-05-25,8.0860615,8.0677
Hawaii,2000-06-21,8.084475,8.0831
Hawaii,2000-07-26,8.083739,8.0872
Hawaii,2000-08-23,8.084219,8.0827
Hawaii,2000-10-18,8.084545,8.0678
Hawaii,2000-11-30,8.084737,8.095
Hawaii,2000-12-20,8.085359,8.0922
Hawaii,2001-01-17,8.085718,8.0929
Hawaii,2001-02-14,8.085357,8.0881
Hawaii,2001-03-21,8.0847845,8.0894
Hawaii,2001-04-18,8.084592,8.0938
Hawaii,2001-05-16,8.085133,8.0948
Hawaii,2001-06-14,8.087015,8.0984
Hawaii,2001-07-11,8.0876255,8.0857
Hawaii,2001-08-08,8.087187,8.0757
Hawaii,2001-10-02,8.086093,8.068
Hawaii,2001-10-23,8.086609,8.0885
Hawaii,2001-11-17,8.086994,8.0814
Hawaii,2001-12-14,8.086589,8.0925
Hawaii,2002-01-16,8.086743,8.0959
Hawaii,2002-02-21,8.087932,8.108
Hawaii,2002-03-13,8.089001,8.1085
Hawaii,2002-05-21,8.089356,8.0811
Hawaii,2002-06-29,8.087203,8.071
Hawaii,2002-08-28,8.085693,8.0706
Hawaii,2002-10-07,8.086586,8.0862
Hawaii,2002-11-04,8.086847,8.0876
Hawaii,2002-11-25,8.087103,8.0876
Hawaii,2002-12-19,8.087177,8.0937
Hawaii,2003-01-17,8.08747,8.1025
Hawaii,2003-02-26,8.087499,8.104
Hawaii,2003-03-29,8.087167,8.1016
Hawaii,2003-04-24,8.087314,8.0963
Hawaii,2003-05-21,8.087833,8.0905
Hawaii,2003-06-20,8.088592,8.0824
Hawaii,2003-07-20,8.089308,8.0777
Hawaii,2003-08-21,8.090153,8.0829
Hawaii,2003-10-15,8.09112,8.0873
Hawaii,2003-11-10,8.091166,8.0884
Hawaii,2003-12-20,8.092431,8.1134
Hawaii,2004-01-22,8.092951,8.0967
Hawaii,2004-02-25,8.092951,8.1096
Hawaii,2004-03-20,8.093884,8.1244
Hawaii,2004-04-21,8.094888,8.0988
Hawaii,2004-05-19,8.094849,8.0878
Hawaii,2004-06-16,8.094818,8.0852
Hawaii,2004-07-13,8.094572,8.0701
Hawaii,2004-08-16,8.09372,8.071
Hawaii,2004-09-29,8.092078,8.0705
Hawaii,2004-10-31,8.091203,8.0836
Hawaii,2004-11-28,8.090759,8.0898
Hawaii,2004-12-21,8.089945,8.0992
Hawaii,2005-02-02,8.089339,8.0963
Hawaii,2005-03-05,8.08882,8.1065
Hawaii,2005-05-18,8.087121,8.0899
Hawaii,2005-06-15,8.087021,8.0809
Hawaii,2005-07-17,8.086733,8.0664
Hawaii,2005-08-14,8.086757,8.0751
Hawaii,2005-09-10,8.086494,8.0601
Hawaii,2005-10-09,8.086325,8.0777
Hawaii,2005-11-12,8.086304,8.0843
Hawaii,2005-12-13,8.085972,8.0888
Hawaii,2006-01-25,8.086383,8.1135
Hawaii,2006-02-15,8.086737,8.0953
Hawaii,2006-03-10,8.086609,8.1084
Hawaii,2006-04-02,8.086824,8.104
Hawaii,2006-05-27,8.087286,8.0901
Hawaii,2006-06-14,8.0869255,8.0646
Hawaii,2006-07-13,8.086784,8.0804
Hawaii,2006-08-09,8.087267,8.0723
Hawaii,2006-09-16,8.088022,8.077
Hawaii,2006-10-21,8.087885,8.0679
Hawaii,2006-11-09,8.087407,8.0772
Hawaii,2006-12-10,8.087241,8.0908
Hawaii,2007-02-07,8.0865555,8.1047
Hawaii,2007-03-21,8.086344,8.0973
Hawaii,2007-05-05,8.084832,8.0808
Hawaii,2007-07-08,8.083358,8.0631
Hawaii,2007-08-04,8.082412,8.066
Hawaii,2007-09-03,8.081589,8.0616
Hawaii,2007-10-03,8.080556,8.0639
Hawaii,2007-12-02,8.078943,8.0678
Hawaii,2007-12-21,8.078224,8.0856
Hawaii,2008-01-30,8.077409,8.0957
Hawaii,2008-02-24,8.076884,8.0957
Hawaii,2008-05-28,8.075256,8.0694
Hawaii,2008-06-26,8.0753765,8.0735
Hawaii,2008-07-27,8.075718,8.0635
Hawaii,2008-08-17,8.075906,8.0729
Hawaii,2008-10-11,8.077935,8.0799
Hawaii,2008-12-01,8.079973,8.0816
Hawaii,2009-01-21,8.0807705,8.0996
Hawaii,2009-02-18,8.081439,8.1084
Hawaii,2009-04-29,8.08371,8.0898
Hawaii,2009-05-28,8.084177,8.0693
Hawaii,2009-07-04,8.083852,8.0676
Hawaii,2009-07-25,8.083588,8.0584
Hawaii,2009-08-19,8.083008,8.0614
Hawaii,2009-09-25,8.081192,8.0541
Hawaii,2009-11-04,8.079086,8.0667
Hawaii,2009-12-10,8.078284,8.0801
Hawaii,2010-03-10,8.075725,8.0969
Hawaii,2010-04-07,8.0755415,8.0968
Hawaii,2010-05-19,8.075826,8.0839
Hawaii,2010-06-09,8.076151,8.0688
Hawaii,2010-07-09,8.076293,8.0703
Hawaii,2010-08-08,8.077441,8.0785
Hawaii,2010-09-04,8.078437,8.0691
Hawaii,2010-10-04,8.079348,8.0651
Hawaii,2010-11-21,8.079812,8.0715
Hawaii,2011-01-29,8.079396,8.0891
Hawaii,2011-03-01,8.079232,8.0918
Hawaii,2011-04-12,8.078487,8.0885
Hawaii,2011-05-10,8.077961,8.0797
Hawaii,2011-07-20,8.07811,8.0696
Hawaii,2011-08-30,8.0776005,8.0717
Hawaii,2011-09-27,8.077605,8.0645
Hawaii,2011-11-05,8.077499,8.0674
Hawaii,2011-11-29,8.077687,8.0802
Hawaii,2011-12-20,8.077936,8.0811
Hawaii,2012-01-19,8.078068,8.0876
Hawaii,2012-03-25,8.077861,8.0905
Hawaii,2012-05-02,8.07762,8.0789
Hawaii,2012-05-31,8.0773735,8.0725
Hawaii,2012-06-27,8.076985,8.0664
Hawaii,2012-08-01,8.076077,8.0563
Hawaii,2012-08-18,8.075248,8.0499
Hawaii,2012-09-15,8.073604,8.0477
Hawaii,2012-10-08,8.072852,8.0587
Hawaii,2012-12-04,8.071788,8.0697
Hawaii,2013-02-13,8.0700245,8.0821
Hawaii,2013-03-07,8.0696535,8.084
Hawaii,2013-04-06,8.069126,8.0822
Hawaii,2013-05-18,8.067838,8.0571
Hawaii,2013-06-26,8.066418,8.0581
Hawaii,2013-09-12,8.066083,8.0499
Hawaii,2013-10-02,8.066387,8.0633
Hawaii,2013-10-28,8.066365,8.0563
Hawaii,2013-11-27,8.066326,8.0733
Hawaii,2013-12-21,8.0668125,8.0824
Hawaii,2014-01-16,8.067312,8.0817
Hawaii,2014-02-15,8.06776,8.0888
Hawaii,2014-03-06,8.067831,8.0806
Hawaii,2014-04-11,8.06788,8.0857
Hawaii,2014-06-01,8.070024,8.0751
Hawaii,2014-07-01,8.070805,8.06
Hawaii,2014-09-15,8.0702095,8.0417
Hawaii,2014-10-14,8.069207,8.0516
Hawaii,2014-11-22,8.069191,8.0709
Hawaii,2014-12-17,8.068949,8.0744
Hawaii,2015-02-25,8.067452,8.0781
Hawaii,2015-03-29,8.06706,8.0776
Hawaii,2015-04-22,8.066753,8.0822
Hawaii,2015-05-24,8.066686,8.0764
Hawaii,2015-06-20,8.066321,8.058
Hawaii,2015-07-20,8.065544,8.0424
Hawaii,2015-08-13,8.065269,8.0536
Hawaii,2015-10-14,8.067425,8.0639
Hawaii,2015-11-14,8.067933,8.067
Hawaii,2015-12-09,8.067791,8.0711
Hawaii,2016-01-13,8.067958,8.0818
Hawaii,2016-02-10,8.068341,8.0814
Hawaii,2016-03-09,8.068686,8.0832
Hawaii,2016-04-15,8.06888,8.0779
Hawaii,2016-05-29,8.067922,8.0642
Hawaii,2016-07-12,8.068295,8.0581
Hawaii,2016-08-10,8.069151,8.0572
Hawaii,2016-10-16,8.068643,8.0551
Hawaii,2016-11-27,8.068066,8.0676
Hawaii,2017-01-24,8.066869,8.0702
Hawaii,2017-02-23,8.066094,8.0742
Hawaii,2017-03-29,8.065513,8.0775
Hawaii,2017-04-26,8.064997,8.0652
Hawaii,2017-05-24,8.06456,8.0634
Hawaii,2017-06-21,8.064106,8.0511
Hawaii,2017-08-09,8.0630045,8.0494
Hawaii,2017-10-07,8.062079,8.0517
Hawaii,2017-11-09,8.062014,8.0622
Hawaii,2017-12-13,8.062525,8.0811
Hawaii,2018-02-26,8.064583,8.0803
Hawaii,2018-04-18,8.065443,8.0816
Hawaii,2018-05-16,8.066474,8.0758
Hawaii,2018-06-27,8.06731,8.0541
Hawaii,2018-07-25,8.067623,8.0548
Hawaii,2018-09-11,8.067289,8.0403
Hawaii,2018-10-13,8.067089,8.0576
Hawaii,2018-11-17,8.067057,8.0608
Hawaii,2019-01-16,8.065034,8.0704
Hawaii,2019-02-20,8.064308,8.0754
Hawaii,2019-05-03,8.061643,8.0592
Hawaii,2019-06-12,8.05945,8.0438
Hawaii,2019-07-02,8.058713,8.043
Hawaii,2019-08-03,8.057556,8.0391
Hawaii,2019-09-05,8.056293,8.0272
Hawaii,2019-10-18,8.055053,8.0494
Hawaii,2019-12-19,8.053736,8.058
Hawaii,2020-01-08,8.053474,8.0672
Hawaii,2020-01-31,8.0530405,8.0612
Hawaii,2020-07-16,8.049171,8.0402
Hawaii,2020-08-08,8.049255,8.0414
Hawaii,2020-09-01,8.050119,8.0494
Hawaii,2020-09-27,8.051056,8.0426
Hawaii,2020-11-19,8.051345,8.0591
Hawaii,2020-12-19,8.051694,8.0616
Hawaii,2021-01-13,8.051862,8.0706
Hawaii,2021-02-17,8.052291,8.0618
Hawaii,2021-03-24,8.053256,8.0714
Hawaii,2021-04-14,8.054348,8.0728
Hawaii,2021-05-17,8.0556345,8.0557
Hawaii,2021-06-23,8.055985,8.0423
Hawaii,2021-07-17,8.055841,8.0366
Hawaii,2021-10-29,8.054898,8.0473
Hawaii,2021-12-05,8.053855,8.0474
Hawaii,2022-03-28,8.048878,8.0522
Hawaii,2022-05-27,8.045616,8.0376
Hawaii,2022-07-10,8.045509,8.0491
Hawaii,2022-07-31,8.0458145,8.0368
Hawaii,2022-09-01,8.045435,8.0341
Hawaii,2023-01-24,8.04391,8.0512
Hawaii,2023-03-29,8.043517,8.0462
Hawaii,2023-05-27,8.0425005,8.0308
Hawaii,2023-08-11,8.039577,8.0256
Hawaii,2023-09-17,8.038836,8.0297
Hawaii,2023-10-09,8.038617,8.0374
Hawaii,2023-11-06,8.038185,8.0321
Hawaii,2023-11-29,8.03767,8.0379
Hawaii,2023-12-28,8.037277,8.0447
Hawaii,2024-04-03,8.038192,8.0595
Hawaii,2024-04-29,8.039029,8.0467
Hawaii,2024-07-18,8.040956,8.0325
Hawaii,2024-08-18,8.041404,8.0307
Hawaii,2024-09-08,8.04167,8.0338
Hawaii,2024-10-12,8.041455,8.0279
Hawaii,2024-12-20,8.042414,8.055
