,YearMonth,Surface_Temp_C,Seawater_pH
169,2005-12,-1.6334668,8.0888
170,2006-01,-0.27760416,8.1135
171,2006-02,-0.76827073,8.0953
172,2006-03,2.5785673,8.1084
173,2006-04,9.862658,8.104
174,2006-05,15.155453,8.0901
175,2006-06,20.125322,8.0646
176,2006-07,23.063152,8.0804
177,2006-08,21.089811,8.0723
178,2006-09,16.045729,8.077
179,2006-10,9.663309,8.0679
180,2006-11,3.299784,8.0772
181,2006-12,-0.2462232,8.0908
182,2007-02,-2.420643,8.1047
183,2007-03,4.160882,8.0973
184,2007-05,15.139254,8.0808
185,2007-07,22.540686,8.0631
186,2007-08,22.25073,8.066
187,2007-09,17.519402,8.0616
188,2007-10,11.159847,8.0639
189,2007-12,-1.7367761,8.076699999999999
190,2008-01,-3.7869124,8.0957
191,2008-02,-1.820615,8.0957
192,2008-05,13.713589,8.0694
193,2008-06,19.521511,8.0735
194,2008-07,21.87766,8.0635
195,2008-08,20.688936,8.0729
196,2008-10,9.311667,8.0799
197,2008-12,-2.381309,8.0816
198,2009-01,-3.753484,8.0996
199,2009-02,-0.49565613,8.1084
200,2009-04,8.227604,8.0898
201,2009-05,14.843495,8.0693
202,2009-07,21.64175,8.063
203,2009-08,20.530487,8.0614
204,2009-09,17.24124,8.0541
205,2009-11,3.9763966,8.0667
206,2009-12,-3.2107005,8.0801
207,2010-03,3.2486923,8.0969
208,2010-04,9.604146,8.0968
209,2010-05,14.148252,8.0839
210,2010-06,20.0069,8.0688
211,2010-07,22.23981,8.0703
212,2010-08,21.883549,8.0785
213,2010-09,17.501978,8.0691
214,2010-10,11.065742,8.0651
215,2010-11,3.525329,8.0715
216,2011-01,-3.768891,8.0891
217,2011-03,3.1983085,8.0918
218,2011-04,8.690683,8.0885
219,2011-05,13.675299,8.0797
220,2011-07,22.89294,8.0696
221,2011-08,22.129547,8.0717
222,2011-09,17.25473,8.0645
223,2011-11,2.8707988,8.073799999999999
224,2011-12,-0.6935133,8.0811
225,2012-01,-2.3465538,8.0876
226,2012-03,5.90021,8.0905
227,2012-05,15.583132,8.075700000000001
228,2012-06,20.512323,8.0664
229,2012-08,21.674444,8.0531
230,2012-09,17.18737,8.0477
231,2012-10,9.907845,8.0587
232,2012-12,-1.0976145,8.0697
233,2013-02,-1.3753012,8.0821
234,2013-03,2.2309268,8.084
235,2013-04,7.1725307,8.0822
236,2013-05,14.07369,8.0571
237,2013-06,20.402716,8.0581
238,2013-09,17.14623,8.0499
239,2013-10,10.141688,8.0598
240,2013-11,2.665825,8.0733
241,2013-12,-3.0278254,8.0824
242,2014-01,-2.3699605,8.0817
243,2014-02,-2.393593,8.0888
244,2014-03,2.4000506,8.0806
245,2014-04,8.923371,8.0857
246,2014-06,19.230867,8.0751
247,2014-07,21.3933,8.06
248,2014-09,16.930607,8.0417
249,2014-10,11.090343,8.0516
250,2014-11,2.2583656,8.0709
251,2014-12,0.40623632,8.0744
252,2015-02,-1.5582851,8.0781
253,2015-03,4.6479716,8.0776
254,2015-04,9.74916,8.0822
255,2015-05,14.881978,8.0764
256,2015-06,20.54416,8.058
257,2015-07,21.957773,8.0424
258,2015-08,21.089792,8.0536
259,2015-10,11.803592,8.0639
260,2015-11,4.393361,8.067
261,2015-12,0.77242833,8.0711
262,2016-01,-1.5555596,8.0818
263,2016-02,1.7139809,8.0814
264,2016-03,5.954588,8.0832
265,2016-04,10.091528,8.0779
266,2016-05,14.704148,8.0642
267,2016-07,22.85412,8.0581
268,2016-08,21.64751,8.0572
269,2016-10,12.078096,8.0551
270,2016-11,5.701624,8.0676
271,2017-01,-1.8732328,8.0702
272,2017-02,1.9183359,8.0742
273,2017-03,4.0456843,8.0775
274,2017-04,10.190167,8.0652
275,2017-05,14.570052,8.0634
276,2017-06,20.246443,8.0511
277,2017-08,20.67805,8.0494
278,2017-10,11.073573,8.0517
279,2017-11,4.6774616,8.0622
280,2017-12,-0.40826523,8.0811
281,2018-02,0.0045755045,8.0803
282,2018-04,7.8231215,8.0816
283,2018-05,16.59505,8.0758
284,2018-06,20.531963,8.0541
285,2018-07,22.849,8.0548
286,2018-09,17.952377,8.0403
287,2018-10,10.391174,8.0576
288,2018-11,2.5348487,8.0608
289,2019-01,-2.3074663,8.0704
290,2019-02,-1.5019802,8.0754
291,2019-05,14.192135,8.0592
292,2019-06,19.624065,8.0438
293,2019-07,22.812262,8.043
294,2019-08,21.699303,8.0391
295,2019-09,18.599184,8.0272
296,2019-10,9.468817,8.0494
297,2019-12,-0.36916402,8.058
298,2020-01,-1.7636682,8.0642
299,2020-07,22.808058,8.0402
300,2020-08,22.287207,8.0414
301,2020-09,17.145977,8.046
302,2020-11,5.0629487,8.0591
303,2020-12,-0.41147608,8.0616
304,2021-01,-0.9636785,8.0706
305,2021-02,-3.6209807,8.0618
306,2021-03,4.219833,8.0714
307,2021-04,8.859586,8.0728
308,2021-05,14.416773,8.0557
309,2021-06,21.323225,8.0423
310,2021-07,22.683842,8.0366
311,2021-10,11.455544,8.0473
312,2021-12,1.1913205,8.0474
313,2022-03,4.2809362,8.0522
314,2022-05,15.128978,8.0376
315,2022-07,23.184889,8.04295
316,2022-09,18.170912,8.0341
317,2023-01,-0.5443969,8.0512
318,2023-03,2.3750653,8.0462
319,2023-05,15.296378,8.0308
320,2023-08,22.189846,8.0256
321,2023-09,17.964678,8.0297
322,2023-10,11.079592,8.0374
323,2023-11,4.680232,8.035
324,2023-12,1.1658766,8.0447
325,2024-04,9.773721,8.0531
326,2024-07,22.56305,8.0325
327,2024-08,21.362272,8.0307
328,2024-09,18.20433,8.0338
329,2024-10,12.209506,8.0279
330,2024-12,0.94223034,8.055
